step,time,count
4,8.1,40
4,8.2,40
4,8.3,39
4,8.4,40
4,8.5,42
4,8.6,42
3,0.0,0
3,0.1,2
3,0.2,3
3,0.3,4
3,0.4,5
3,0.5,6
3,0.6,8
3,0.7,9
3,0.8,10
3,0.9,11
3,1.0,11
3,1.1,11
3,1.2,11
3,1.3,11
3,1.4,11
3,1.5,11
3,1.6,11
3,1.7,11
3,1.8,12
3,1.9,11
3,2.0,11
3,2.1,11
3,2.2,12
3,2.3,12
3,2.4,12
3,2.5,12
3,2.6,11
3,2.7,11
3,2.8,10
3,2.9,11
3,3.0,11
3,3.1,11
3,3.2,10
3,3.3,10
3,3.4,10
3,3.5,10
3,3.6,10
3,3.7,10
3,3.8,10
3,3.9,10
3,4.0,11
3,4.1,10
3,4.2,11
3,4.3,11
3,4.4,11
3,4.5,11
3,4.6,12
3,4.7,12
3,4.8,12
3,4.9,12
3,5.0,11
3,5.1,12
3,5.2,11
3,5.3,12
3,5.4,12
3,5.5,12
3,5.6,11
3,5.7,11
3,5.8,11
3,5.9,11
3,6.0,11
3,6.1,12
3,6.2,12
3,6.3,11
3,6.4,11
3,6.5,11
3,6.6,11
3,6.7,11
3,6.8,11
3,6.9,11
3,7.0,11
3,7.1,10
3,7.2,10
3,7.3,11
3,7.4,10
3,7.5,10
3,7.6,10
3,7.7,10
3,7.8,10
3,7.9,11
3,8.0,11
3,8.1,12
3,8.2,12
3,8.3,11
3,8.4,12
3,8.5,13
3,8.6,13
